City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Bolgatanga,GH,2020-10-13 18:24:05,10.79,-0.85,86.52,51,26,2.48
280,Belle Fourche,US,2020-10-13 18:24:05,44.67,-103.85,55.0,30,1,4.7
281,Lafiagi,NG,2020-10-13 18:24:05,8.87,5.42,79.7,83,85,4.5
282,Manggar,ID,2020-10-13 18:24:06,-2.88,108.27,82.27,79,93,10.27
283,Manjacaze,MZ,2020-10-13 18:24:06,-24.71,33.88,72.55,62,14,3.49
284,Nuuk,GL,2020-10-13 18:24:06,64.18,-51.72,37.4,93,40,11.41
285,Maceio,BR,2020-10-13 18:19:56,-9.67,-35.74,84.2,62,40,12.75
286,Zunyi,CN,2020-10-13 18:24:07,27.69,106.91,59.2,87,72,4.68
287,Qasigiannguit,GL,2020-10-13 18:24:07,68.82,-51.19,48.2,45,75,13.87
288,Alyangula,AU,2020-10-13 18:24:07,-13.85,136.42,71.6,100,20,0.34
289,Ilulissat,GL,2020-10-13 18:24:07,69.22,-51.1,48.2,45,75,13.87
290,Mersing,MY,2020-10-13 18:24:08,2.43,103.84,78.8,88,100,4.7
291,Vuktyl,RU,2020-10-13 18:24:08,63.86,57.31,45.95,89,100,10.87
292,Aksu,CN,2020-10-13 18:24:08,41.12,80.26,51.84,41,13,3.78
293,Mehamn,NO,2020-10-13 18:24:09,71.04,27.85,35.6,79,75,6.93
294,Hami,CN,2020-10-13 18:24:09,42.8,93.45,42.69,59,0,2.66
295,Lasa,IT,2020-10-13 18:19:13,46.62,10.7,41.0,59,5,4.7
296,Jutai,BR,2020-10-13 18:24:09,-5.18,-68.9,97.03,36,43,2.84
297,Kaitangata,NZ,2020-10-13 18:24:10,-46.28,169.85,43.0,71,29,8.01
298,Lethem,GY,2020-10-13 18:24:10,3.38,-59.8,93.67,41,78,5.48
299,Kasongo-Lunda,CD,2020-10-13 18:24:10,-6.47,16.82,73.83,86,49,1.07
300,Birao,CF,2020-10-13 18:24:11,10.28,22.79,78.03,69,42,2.82
301,Robertsport,LR,2020-10-13 18:24:11,6.75,-11.37,76.33,84,100,3.62
302,Pevek,RU,2020-10-13 18:24:11,69.7,170.31,26.17,86,100,11.05
303,Fereydun Kenar,IR,2020-10-13 18:24:12,36.69,52.52,55.4,87,0,4.7
